state,state_abb,cp_2019,gov_party,gdp,co2_emissions,total_energy,nuclear,perc_renew,renew,perc_ff,ff,pop,perc_white,perc_black,perc_latino,perc_asian
Alabama,AL,0.00,R,228142.6,113.54,2378.60,412.60,0.13,298.4,0.70,1667.6,"4,767,100",0.65,0.27,0.04,0.01
Alaska,AK,0.00,R,54385.6,36.06,609.80,0.00,0.04,25,0.96,584.8,"701,700",0.60,0.02,0.07,0.06
Arizona,AZ,0.00,R,370119.1,91.24,1775.20,325.10,0.10,178.5,0.72,1271.6,"7,098,000",0.54,0.04,0.32,0.03
Arkansas,AR,0.00,R,130954.1,72.02,1257.80,133.00,0.10,123.8,0.80,1001,"2,922,500",0.72,0.15,0.08,0.02
California,CA,16.84,D,3132800.6,376.06,7098.40,190.40,0.16,1154.5,0.81,5753.5,"38,642,700",0.36,0.05,0.40,0.15
Colorado,CO,0.00,D,392986,90.40,1469.70,0.00,0.11,164.6,0.89,1305.1,"5,611,800",0.68,0.04,0.22,0.03
Connecticut,CT,5.43,D,287822.2,38.19,829.60,176.50,0.06,50.4,0.73,602.7,"3,453,300",0.66,0.10,0.17,0.05
Delaware,DE,5.43,D,77082.4,13.68,221.10,0.00,0.04,8,0.96,213.1,"940,300",0.61,0.22,0.10,0.04
District of Columbia,DC,0.00,D,143389.3,3.11,54.40,0.00,0.05,2.7,0.95,51.7,"671,300",0.37,0.45,0.11,0.04
Florida,FL,0.00,R,1106500.1,232.76,4150.90,306.50,0.08,317.5,0.85,3526.9,"20,992,000",0.53,0.15,0.27,0.03
Georgia,GA,0.00,R,625713.6,134.96,2637.50,359.30,0.11,302.4,0.75,1975.8,"10,294,000",0.52,0.31,0.10,0.04
Hawaii,HI,0.00,D,95744.3,19.52,292.90,0.00,0.11,31.1,0.89,261.8,"1,343,000",0.20,0.01,0.10,0.39
Idaho,ID,0.00,R,83665.5,19.50,478.30,0.00,0.37,178.9,0.63,299.4,"1,750,900",0.82,0.01,0.13,0.01
Illinois,IL,0.00,D,885583,215.37,4371.00,1025.70,0.07,284.7,0.70,3060.6,"12,362,300",0.61,0.14,0.18,0.06
Indiana,IN,0.00,R,379684.1,192.43,2803.10,0.00,0.07,185.9,0.93,2617.2,"6,511,800",0.79,0.09,0.07,0.02
